date,total,hardware,software,accessories,game_content
Jan '17,0.69,0.13,0.34,0.22,-
Feb '17,0.81,0.2,0.4,0.21,-
Mar '17,1.48,0.49,0.68,0.31,-
Apr '17,0.7,0.2,0.32,0.19,-
May '17,0.54,0.15,0.27,0.11,-
Jun '17,0.77,0.23,0.34,0.16,-
Jul '17,0.66,0.18,0.28,0.19,-
Aug '17,0.63,0.17,0.28,0.18,-
Sept '17,1.29,0.32,0.74,0.23,-
Oct '17,0.89,0.24,0.47,0.18,-
Nov '17,2.71,1.15,1.19,0.37,-
Dec '17,3.34,1.27,1.28,0.79,-
Jan '18,1.1,0.28,0.52,0.3,-
Feb '18,1.01,0.32,0.4,0.29,-
Mar '18,1.32,0.33,0.61,0.37,-
Apr '18,0.82,0.23,0.36,0.24,-
May '18,0.69,0.19,0.27,0.23,-
Jun '18,1.1,0.35,0.37,0.35,-
Jul '18,0.75,0.22,0.25,0.29,-
Aug '18,0.8,0.21,0.34,0.26,-
Sept '18,1.4,0.31,0.76,0.33,-
Oct '18,1.57,0.31,0.98,0.28,-
Nov '18,2.78,1.21,1.07,0.51,-
Dec '18,3.49,1.17,1.31,1.01,-
Jan '19,0.92,0.2,0.45,0.27,-
Feb '19,1.06,0.28,0.48,0.31,-
Mar '19,1.19,0.28,0.55,0.35,-
Apr '19,0.85,0.16,0.43,0.26,-
May '19,0.64,0.15,0.26,0.23,-
Jun '19,0.93,0.23,0.38,0.32,-
Jul '19,2.72,0.17,2.43,0.13,-
Aug '19,2.43,0.17,2.15,0.12,-
Sept '19,3.93,0.24,0.73,0.15,-
Oct '19,1.03,0.18,0.62,0.23,-
Nov '19,2.25,0.89,0.93,0.4,-
Dec '19,2.98,0.97,1.14,0.87,-
Jan '20,0.68,0.13,0.31,0.24,-
Feb '20,0.76,0.18,0.31,0.27,-
Mar '20,1.6,0.46,0.74,0.4,-
Apr '20,1.47,0.42,0.66,0.38,-
May '20,0.98,0.24,0.44,0.3,-
Jun '20,1.18,0.19,0.57,0.42,-
Jul '20,3.59,0.17,-,0.17,3.25
Aug '20,3.33,0.23,-,0.17,2.94
Sept '20,4.31,0.28,-,0.19,3.94
Oct '20,3.84,0.26,-,0.15,3.43
Nov '20,6.97,1.42,-,0.31,5.24
Dec '20,7.7,1.35,-,0.55,5.81
Jan '21,4.71,0.32,-,0.22,4.17
Feb '21,4.6,0.41,-,0.2,4